post_title,listing_category,_address,_phone,_whatsapp,_email,_website,_instagram,_facebook,_thumbnail_id,_gallery,_geolocation_lat,_geolocation_long,post_content
Hotel Regine- 2 Estrellas,Hoteles,Independencia 623 -Ciudad,5492604531997,5492604531997,,http://www.hotelregine.com.ar,https://www.instagram.com/hotelregine/?hl=es,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/hotel-regine.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/hotel-regine.jpg,-34.6264997,-68.3119968,Hotel Regine- 2 Estrellas en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/hotel-regine-2-estrellas/
Hotel Bonito – 2 Estrellas,Hoteles,Av. San Martín 329,5492604566882,5492604566882,,,https://www.instagram.com/bonitohotel_sr/?hl=es,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/Hotel-Bonito-tarjeta-digital.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/Hotel-Bonito-tarjeta-digital.jpg,-34.6127329,-68.3282726,Hotel Bonito – 2 Estrellas en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/hotel-bonito-2-estrellas/
Hotel Almería – 2 Estrellas,Hoteles,Barcala 221 – Ciudad,2604438020,2604438020,,http://www.almeriahotel.com.ar,https://www.instagram.com/hotel_almeria_san_rafael/?hl=es,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/almeria-hotel.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/almeria-hotel.jpg,-34.6239473,-68.3105548,Hotel Almería – 2 Estrellas en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/hotel-almeria-2-estrellas/
Valle Grande Hotel de Montaña- 3 Estrellas,Hoteles,R. Prov 173 km 35  – Valle Grande,5492604401313,5492604401313,,http://www.hotelvallegrande.com,,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/hotel-valle-grande-1.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/hotel-valle-grande-1.jpg,-34.611168,-68.337523,Valle Grande Hotel de Montaña- 3 Estrellas en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/valle-grande-hotel-de-montana-3-estrellas/
Hotel San Rafael – 3 Estrellas,Hoteles,Domicilio  Day 30 – Ciudad,260443012728,260443012728,,http://www.sanrafaelhotel.com.ar,,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/san-rafael-hotel.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/san-rafael-hotel.jpg,-34.611168,-68.337523,Hotel San Rafael – 3 Estrellas en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/hotel-san-rafael-3-estrellas/
Hotel Nuevo Mundo – 3 Estrellas,Hoteles,Av. Balloffet 725 – Ciudad,5492604630087,5492604630087,,,https://www.instagram.com/hotelnuevomundo1503/?hl=es,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/nuevo-mundo-hotel.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/nuevo-mundo-hotel.jpg,-34.611168,-68.337523,Hotel Nuevo Mundo – 3 Estrellas en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/hotel-nuevo-mundo-3-estrellas/
Hotel Nitra II – Valle Grande – 3 Estrellas,Hoteles,Ruta Prov. N  173 km 25.2 – Valle Grande,2604530067,2604530067,,http://www.hotelesnitra.com.ar/hotel-san-rafael.html,,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/nitraa-hotel.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/nitraa-hotel.jpg,-34.611168,-68.337523,Hotel Nitra II – Valle Grande – 3 Estrellas en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/hotel-nitra-ii-valle-grande-3-estrellas/
Hotel Kalton – 3 Estrellas,Hoteles,Av. Hipólito Yrigoyen 120 – Ciudad,2604430047154060328,2604430047154060328,,http://www.kaltonhotel.com,https://www.instagram.com/hotelkalton/?hl=es,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/Logo-Kalton.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/Logo-Kalton.jpg,-34.6155112,-68.3314281,Hotel Kalton – 3 Estrellas en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/hotel-family-inn-las-paredes-2-estrellas-2/
Hotel Family Inn – Las Paredes – 2 Estrellas,Hoteles,Av. Hipólito Yrigoyen 5501 – Las Paredes,2604675514,2604675514,,http://www.familyinnsanrafael.com.ar,,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/family-inn-hotel.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/family-inn-hotel.jpg,-34.5910753,-68.4038708,Hotel Family Inn – Las Paredes – 2 Estrellas en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/hotel-family-inn-las-paredes-2-estrellas/
Hotel Tower Inn & Suites – 4 Estrellas,Hoteles,Av. Hipólito Yrigoyen 760 – Ciudad,,,,http://www.towersanrafael.com,https://www.instagram.com/towerhotelsuites/?hl=es,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/HOTEL-TOWER.png,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/HOTEL-TOWER.png,-34.6129093,-68.3391856,Hotel Tower Inn & Suites – 4 Estrellas en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/hotel-tower-inn-suites-4-estrellas/
COMPLEJO UTN Los Reyunos,Cabañas,Ubicación  Ruta Provincial 150 – Los Reyunos,2604021708,2604021708,,https://www.reyunos.utn.edu.ar/habitaciones.html,https://www.instagram.com/utn_losreyunos/?hl=es,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2025/08/Captura-2.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2025/08/Captura-2.jpg,-34.576006303348,-68.706364676553,COMPLEJO UTN Los Reyunos en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2025/08/24/complejo-utn-los-reyunos/
VIENTO ANDINO Complejo de Cabañas,Cabañas,Sardini Sur 1205 – Las Paredes,5492604400666,5492604400666,,https://www.vientoandino.com.ar/?fbclid=PAZXh0bgNhZW0CMTEAAac9ZGGQsolyho_eHdiohl7EJPDeHHd6VuI_1JG7q4ZcAFtoc6kJ8SOed32dsQ_aem_qluQ6l4F4DLacakHk2ZCZQ,https://www.instagram.com/complejovientoandino?igsh=cWw5amQzdHoxMTAz&utm_source=qr,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2025/06/e97c0d1b-cb2d-4e7d-9470-f473e52fb692.jpeg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2025/06/e97c0d1b-cb2d-4e7d-9470-f473e52fb692.jpeg,-34.5491683,-68.4280894,VIENTO ANDINO Complejo de Cabañas en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2025/06/25/viento-andino-complejo-de-cabanas/
Cabañas La Montielita - Rama Caída,Cabañas,Domicilio  RN143 km 511  entre calles Arroyo y Gutierrez  – Rama Caída,2604056615,2604056615,,https://www.lamontielita.com.ar/,https://www.instagram.com/lamontielitamza/,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2025/06/La-Montielita-Fondo-01-scaled.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2025/06/La-Montielita-Fondo-01-scaled.jpg,-34.611168,-68.337523,Cabañas La Montielita - Rama Caída en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2025/06/03/cabanas-la-montielita-rama-caida/
CABAÑAS ELITA - Rama Caída,Cabañas,Domicilio  Ejército de Los Andes 6905- Rama Caída,541132636242,541132636242,,,https://www.instagram.com/elitasanrafael,https://www.facebook.com/ElitaSanRafael/,https://sanrafaelturismo.gov.ar/wp-content/uploads/2024/09/8b792104-d824-42bd-82d9-7426efdf3004.jpeg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2024/09/8b792104-d824-42bd-82d9-7426efdf3004.jpeg,-34.7012098,-68.3655222,CABAÑAS ELITA - Rama Caída en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2024/09/11/cabanas-elita-rama-caida/
MORITA MIA- Complejo Vacacional - Rama Caída.,Cabañas,Calle Quiroga 500 – Rama Caída.-,1166757437,1166757437,,https://moritamia.com.ar/,https://instagram.com/complejo.moritamia?utm_medium=copy_link,https://www.facebook.com/complejo.moritamia?mibextid=LQQJ4d,https://sanrafaelturismo.gov.ar/wp-content/uploads/2023/04/68a8f625-1280-49cd-a438-bf9328627d74.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2023/04/68a8f625-1280-49cd-a438-bf9328627d74.jpg,-34.627239693029,-68.342795354132,MORITA MIA- Complejo Vacacional - Rama Caída. en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2023/04/18/morita-mia-complejo-vacacional-rama-caida/
MARTYNIUK Lodge - Las Paredes,Cabañas,"Calle Los Maitenes Nº 1600, Las Paredes",5491130400204,5491130400204,,http://martyniuk.ar/,https://www.instagram.com/martyniuk_lodges/?utm_medium=copy_link,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2023/01/martiniuk.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2023/01/martiniuk.jpg,-34.56411,-68.46156,MARTYNIUK Lodge - Las Paredes en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2023/01/27/martyniuk-lodge-las-paredes/
Cabañas BET-EL - Rama Caída,Cabañas,El Moro 2505 – Rama Caída,,,,,https://www.instagram.com/betelsanrafael/?hl=es-la,https://www.facebook.com/cabanasbetelsanrafael,https://sanrafaelturismo.gov.ar/wp-content/uploads/2023/01/betel.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2023/01/betel.jpg,-34.6737849,-68.4034579,Cabañas BET-EL - Rama Caída en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2023/01/09/cabanas-bet-el-rama-caida/
La Finca Multiespacio - Ciudad,Cabañas,Patricias Mendocinas 2133 – Ciudad,5492604410548,5492604410548,,https://www.lafinca.com.ar/,https://www.instagram.com/cabanaslafincamultiespacio/,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2023/01/Captura.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2023/01/Captura.jpg,-34.625305,-68.3196463,La Finca Multiespacio - Ciudad en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2023/01/09/la-finca-multiespacio-ciudad/
POSADA DE CAMPO PURA VIDA - Rama Caída,Cabañas,"Ejército de los Andes 7417, Rama Caída",,,,https://posadapuravida.com.ar/,https://www.instagram.com/posadapura/,https://www.facebook.com/Posadapura,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/10/pura-vida.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/10/pura-vida.jpg,-34.7397769,-68.381149,POSADA DE CAMPO PURA VIDA - Rama Caída en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/10/18/posada-de-campo-pura-vida-rama-caida/
Cabañas Inti Co - Los Reyunos,Cabañas,Club de Pesca y Náutica – Los Reyunos,5492604563767,5492604563767,,http://www.losreyunossanrafael.com,https://www.instagram.com/inticolosreyunos/,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/05/inti-co-cabanas.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/05/inti-co-cabanas.jpg,-34.5770047,-68.7122289,Cabañas Inti Co - Los Reyunos en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/05/06/cabanas-inti-co-los-reyunos/
Cabañas Los Nietos- Ciudad,Cabañas,Avenida  Vélez Sarsfield 1333 – Ciudad,5492604655542,5492604655542,,,https://www.instagram.com/losnietoscabanas/,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/05/los-nietos-cabanas.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/05/los-nietos-cabanas.jpg,-34.6402718,-68.3329463,Cabañas Los Nietos- Ciudad en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/05/05/cabanas-los-nietos-ciudad-2/
Martina Manuel Cabañas – Valle Grande,Cabañas,"Ruta Prov. 173, Km. 13.5 – Valle Grande",111526978208,111526978208,,https://www.martinamanuel.com/,https://www.instagram.com/cabanasmartinamanuel/,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/martina-manuel-cabanas.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/martina-manuel-cabanas.jpg,-34.878395637998,-68.556080996361,Martina Manuel Cabañas – Valle Grande en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/martina-manuel-cabanas-valle-grande-2/
Los Cactus – Rama Caída,Cabañas,José Mora 395 – Rama Caída,,,,,,https://www.facebook.com/Caba%C3%B1a-Los-Cactus-355497607968288,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/los-cactus-cabanas.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/los-cactus-cabanas.jpg,-34.7012098,-68.3655222,Los Cactus – Rama Caída en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/los-cactus-rama-caida/
Cabañas Altos la Villa – Villa 25 de Mayo,Cabañas,9 de julio 450 – Villa 25 de Mayo,5492604392739,5492604392739,,http://www.altoslavilla.com.ar,https://www.instagram.com/altoslavilla/,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/ALTOS-LA-VILLA.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/ALTOS-LA-VILLA.jpg,-34.5869485,-68.5459918,Cabañas Altos la Villa – Villa 25 de Mayo en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/cabanas-altos-la-villa-villa-25-de-mayo/
Cabañas Ayres de Cuyo – Las Paredes,Cabañas,Bianchi 1000 – Las Paredes,54901169483112,54901169483112,,http://www.ayresdecuyo.com/,https://www.instagram.com/ayresdecuyo/,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/ayres-de-cuyo-cabanas.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/ayres-de-cuyo-cabanas.jpg,-34.5829673,-68.4245938,Cabañas Ayres de Cuyo – Las Paredes en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/cabanas-ayres-de-cuyo-las-paredes/
Cabañas Expoarte -Las Paredes,Cabañas,Bertani Sur  1285 – Las  Paredes,5492604670625,5492604670625,,,https://www.instagram.com/cabanas_expoarte/,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/CABANAS-EXPO-ARTE.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/CABANAS-EXPO-ARTE.jpg,-34.6053346,-68.4075572,Cabañas Expoarte -Las Paredes en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/cabanas-expoarte-las-paredes/
Complejo Villa Hermosa – Rama Caída,Cabañas,La Bodega S N – Rama Caída,,,,http://complejovillahermosa.com/,,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/villa-hermosa-cabanas.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/villa-hermosa-cabanas.jpg,-34.7333183,-68.3879837,Complejo Villa Hermosa – Rama Caída en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/complejo-villa-hermosa-rama-caida/
Cabañas Camino al Valle- Rama Caída,Cabañas,Lucato 400- Rama Caída,,,,,https://www.instagram.com/camino_al_valle/,https://www.facebook.com/Caminoalvalle,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/camino-al-valle-cabanas.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/camino-al-valle-cabanas.jpg,-34.7010792,-68.37873,Cabañas Camino al Valle- Rama Caída en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/cabanas-camino-al-valle-rama-caida/
Cabañas San José Del Atuel- Rama Caída,Cabañas,Ejército de Los Andes 1900 -Rama Caída,260154572994,260154572994,,,https://www.instagram.com/sanjosedelatuel/,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/san-jose-del-atuel-cabanas.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/san-jose-del-atuel-cabanas.jpg,-34.7397769,-68.381149,Cabañas San José Del Atuel- Rama Caída en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/cabanas-san-jose-del-atuel-rama-caida/
Cabañas del Puente – Las Paredes,Cabañas,Los Filtros 8501 – Las Paredes,5491167947338,5491167947338,,http://www.cabdelpuente.com/,https://www.instagram.com/cabdelpuente_sr/,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/del-puente-cabanas.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/del-puente-cabanas.jpg,-34.56411,-68.46156,Cabañas del Puente – Las Paredes en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/cabanas-del-puente-las-paredes/
Cabañas Acacias de la Villa – Villa 25 de Mayo,Cabañas,Sarmiento 148 – Villa 25 de Mayo,5492604554965,5492604554965,,http://www.acaciasdelavilla.com.ar/,,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/ACACIAS-DE-LA-VILLA.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/ACACIAS-DE-LA-VILLA.jpg,-34.584836711217,-68.547791812207,Cabañas Acacias de la Villa – Villa 25 de Mayo en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/cabanas-acacias-de-la-villa-villa-25-de-mayo/
Cabañas Jim-Yes – Rama Caída,Cabañas,Cubillos 5735 – Rama Caída,,,,,,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/jim-yes-cabanas.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/jim-yes-cabanas.jpg,-34.7012098,-68.3655222,Cabañas Jim-Yes – Rama Caída en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/cabanas-jim-yes-rama-caida/
Cabañas Postal de los Cerros Finca – Rama Caída,Cabañas,La Bodega 789 – Rama Caída,1131242100,1131242100,,http://www.postaldeloscerros.com.ar/,https://www.instagram.com/postaldeloscerros/,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/POSTAL-DE-LOS-CERROS.jpeg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/POSTAL-DE-LOS-CERROS.jpeg,-34.7333183,-68.3879837,Cabañas Postal de los Cerros Finca – Rama Caída en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/cabanas-finca-postal-de-los-cerros-rama-caida/
Barrancas Suites – Villa 25 de Mayo,Cabañas,La Bodega S N – Villa 25 de Mayo,5492604539394,5492604539394,,http://www.barrancassuites.com/,,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/barrancas-cabanas.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/barrancas-cabanas.jpg,-34.58468,-68.54491,Barrancas Suites – Villa 25 de Mayo en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/barrancas-suites-villa-25-de-mayo/
Cabañas La Martina Casa de Campo – Rama Caída,Cabañas,Arroyo 1331,260154517234,260154517234,,http://www.xn--cabaaslamartina-1qb.com.ar/,https://www.instagram.com/lamartina.cdc/,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/LOGO-LA-MARTINA.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/LOGO-LA-MARTINA.jpg,-35.5248787,-68.0739573,Cabañas La Martina Casa de Campo – Rama Caída en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/cabanas-la-martina-casa-de-campo-rama-caida/
Cabañas Rincón Azul – Rama Caída,Cabañas,Ejercito De Los Andes 9100 – Rama Caída.,2601543317762604617379,2601543317762604617379,,http://www.rinconazulsanrafael.com/,https://www.instagram.com/cabanasrinconazul/,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/rincon-azul-cabanas.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/rincon-azul-cabanas.jpg,-34.7397769,-68.381149,Cabañas Rincón Azul – Rama Caída en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/cabanas-rincon-azul-rama-caida/
Cabañas Los Chalecitos – Valle Grande,Cabañas,Ruta N  173 km. 13 – Valle Grande.,,,,http://www.loschalecitos.com.ar/,https://www.instagram.com/loschalecitosok/?hl=es,https://www.facebook.com/loschalecitosok/,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/los-chalecitos-cabanas.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/los-chalecitos-cabanas.jpg,-34.611168,-68.337523,Cabañas Los Chalecitos – Valle Grande en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/cabanas-los-chalecitos-valle-grande/
Cabañas Posada Del Angel- Valle Grande,Cabañas,"Ruta Prov. N  173 km 14,8 – Valle Grande",260154641782154605066,260154641782154605066,,http://www.posadasdelangel.com.ar/,https://www.instagram.com/posadasdelangelvallegrande/,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/posada-del-angel-cabanas.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/posada-del-angel-cabanas.jpg,-34.611168,-68.337523,Cabañas Posada Del Angel- Valle Grande en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/cabanas-posadas-del-angel-valle-grande/
Cabañas Tierra Virgen – Villa 25 de Mayo,Cabañas,https   wa.me 5492604593961,5492604593961,5492604593961,,http://www.tierravirgencabanas.com/,,https://www.facebook.com/tierravirgencabanas/,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/CABANAS-TIERRA-VIRGEN.png,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/CABANAS-TIERRA-VIRGEN.png,-34.5869485,-68.5459918,Cabañas Tierra Virgen – Villa 25 de Mayo en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/cabanas-tierra-virgen-villa-25-de-mayo/
