Nombre,Apellidos,"Dirección de correo","Número de teléfono",WhatsApp,"Dirección","Sitio web",Instagram,Facebook,"Google Maps URL",Verificado,Premium,"Etapa del ciclo de vida"
"La Casona de Crismajo – Cuadro Benegas","",,260154664695,260154664695,"Mercado 300 – Cuadro Benegas",,https://www.instagram.com/lacasona.decrismajo/?hl=es,,,No,No,Lead
"SYRAH Restaurante - Las Paredes","",,"Las Paredes""",2604802010,"""Domicilio  El Chañaral 2000",,,https://www.instagram.com/syrah.resto/?gad_source=1&gclid=Cj0KCQjw3vO3BhCqARIsAEWblcDFWPb93sIYZu5aUHw3SRF4vk4uDEcq2sI5xMSfaIBcqSuX1yDuW5waAlZaEALw_wcB,,No,No,Lead
"Chalet Los Troncos - Cuadro Benegas","",,260154630935,260154630935,"El Moro 3500 – Cuadro Benegas",,https://www.instagram.com/chaletlostroncos/?hl=es,,,No,No,Lead
"Barrancas Suites – Villa 25 de Mayo","",,5492604539394,5492604539394,"La Bodega S N – Villa 25 de Mayo",http://www.barrancassuites.com/,,,,No,No,Lead
"MAGIC TOP Helados","",,26044425281,26044425281,"Domicilio  Av. Mitre 202 – Ciudad",,https://www.instagram.com/heladosmagicdelivery/,,,No,No,Lead
"Valle Grande Aventura","",,"0260 459-3696","","34.8351900, -68.5126320, M5600 Valle Grande, Mendoza, Argentina",https://vallegrandeaventura.com.ar/,"","",https://maps.google.com/?cid=1139713816795091720,No,No,Lead
"LA NUEVA COSECHA 71 (Café- Minutas) - Ciudad","",,,,"Av. Hipólito Yrigoyen 674 – Ciudad",,,,,No,No,Lead
"Cabañas El Chañar – 1 Estrella – Cuadro Benegas","",,,,"El Moro 4623 – Cuadro Benegas",http://www.xn--cabaaselchaar-lkbh.com.ar/,,https://www.facebook.com/cabaniaselchaniar.com.ar/,,"Sí",No,Lead
"Apart Hotel Vecchia Terra - Ciudad","",,5492604221204,5492604221204,"Castelli 23  – Ciudad",http://www.vecchiaterra.com.ar/,https://www.instagram.com/vecchia_terra/?hl=es,https://www.facebook.com/vecchiaterraapart/,,No,No,Lead
"CALLE ANGOSTA (Enorestó Bodega Ibarra) - Rama Caída","",,,,"Cubillos 3550 – Rama Caída",,https://www.instagram.com/bodegaibarra/?hl=es-la,https://www.facebook.com/BodegaBoutiqueIbarra,,No,No,Lead
"HOTEL NITRA II - Valle Grande","",,"2 – Valle Grande""",,"""R. Prov. 173 km. 25",,https://www.hotelesnitra.com.ar/,,,No,No,Lead
"Apart Hotel Ámbar","",,5492604636042,5492604636042,"Chile 259 – Planta Alta  – Ciudad","","","",,No,No,Lead
"MARY Lomitos","",,"0260 443-2990","","Las Aucas 1826, M5600 San Rafael, Mendoza, Argentina",https://pedidos.masdelivery.com/mary-lomitos,https://www.instagram.com/marylomitos/,"",https://maps.google.com/?cid=17189454009944389488,No,No,Lead
"BODEGA GRAND ESTATE (vinos)","",,5492604594274,5492604594274,"Domicilio  Castelli 1331 –  CP 5600  – Ciudad",https://grandestate.com.ar/Instagram:,https://www.instagram.com/turismograndestate/,,,No,No,Lead
"Finca La Penúltima","",,5492604054453,5492604054453,"Las Heras 487 – Villa 25 de Mayo",http://www.fincalapenultima.com,https://www.instagram.com/fincalapenultima/?hl=es,,,No,No,Lead
"EL NIHUIL HOTEL (Resto)- El Nihuil - (1)","",,,,"La Pasarella 1200- El Nihuil",https://www.smata.com.ar/el-nihuil-hotel/,,,,No,No,Lead
"Complejo Villa Bonita – Villa 25 de Mayo","",,2604537154,2604537154,"Ruta Prov. N  150 – S N- Villa 25 de Mayo",http://www.complejovillabonita.com.ar/,https://www.instagram.com/complejovillabonita/,,,No,No,Lead
"L´OBRADOR (Comedor De Campo) - Las Paredes - (1)","",,,,"Bentos 50 Pasillo 1 – Las Paredes",,https://www.instagram.com/lobradorsr/,https://www.facebook.com/L-Obrador-570792939655533,,No,No,Lead
"EXCURSIONES AHORA EV.T. -Excursiones Locales.","",,,,"Av. Hipólito Yrigoyen 642 – Ciudad",http://www.excursionesahora.com.ar/,https://www.instagram.com/excursionesahora/,,,No,No,Lead
"LOMORO Helados & Café","",,,,"Domicilio  Av. Balloffet 1205 – Ciudad",,https://www.instagram.com/heladoslomorosanrafael/?hl=es,,,No,No,Lead
"Moment’s Bar - Ciudad","",,5492604400990,5492604400990,"Av. Deán Funes 998 – Ciudad",https://momentstulugar.com/,https://www.instagram.com/moments.tu.lugar/?hl=es,,,No,No,Lead
"RIO AZUL (Parrilla -Restó) - Valle Grande","",," km. 23.9""",,"""Ruta Prov. 173",,http://www.rioazulvallegrande.com.ar,https://www.instagram.com/rioazulvallegrande/,,No,No,Lead
"La Dante Viajes","",,2604414179,2604414179,"Domicilio  Alem 52 – Ciudad de San Rafael",,https://www.instagram.com/ladanteviajes/,,,No,No,Lead
"EL TOMILLO (Los Carolinos Lodge) - Villa 25 de Mayo","",,,,"Mitre 300 – Villa 25 de Mayo",http://www.loscarolinoslodge.com/,,,,No,No,Lead
"SUD (Restó) Hotel Tower Inn & Suites - Ciudad - (1)","",,,,"Av. H. Yrigoyen 774 – Ciudad",http://www.towersanrafael.com,https://www.instagram.com/sud.restaurante/?hl=es,,,No,No,Lead
"Cabañas BET-EL - Rama Caída","",,,,"El Moro 2505 – Rama Caída",,https://www.instagram.com/betelsanrafael/?hl=es-la,https://www.facebook.com/cabanasbetelsanrafael,,"Sí",No,Lead
"CHECHO A LA LLAMA ( Parrilla) - Cuadro Nacional","",,,,"Domicilio  Ignacio Sueta 830 – Cuadro Nacional",,https://www.instagram.com/chechoalallama/,,,No,No,Lead
"Hotel Rex - 1 estrella","",,2604014779,2604014779,"Domicilio  Avda. Hipólito Yrigoyen 56",,https://www.instagram.com/hotel_rex2024/,,,No,No,Lead
"BAHRÜ - Ciudad","",,260154625273,260154625273,"Av. Hipólito Yrigoyen 1899 – Ciudad",,https://www.instagram.com/bahru.club/,https://www.facebook.com/bahru.club,,No,No,Lead
"CAFÉ DEL MUNDO - Ciudad","",,,,"Ubicación 1   Avda. Hipólito Yrigoyen 1661 – Ciudad",https://www.cafedelmundo.com.ar/,https://www.instagram.com/cafedelmundoarg/,,,No,No,Lead
"FIGO RESTAURANTE - Rama Caída","",,"4 entre Cubillos y Perdiguez","Rama Caída""","""Domicilio  Ruta 143 Km 513",2604504455,,,,No,No,Lead
"BODEGA BOURNETT (Bodega / Espumantes) - Cuadro Nacional","",,5492604063291,5492604063291,"Ruta 154 s n – Cuadro Nacional",http://bournett.com.ar/,https://www.instagram.com/bodegabournett/?hl=es-la,https://www.facebook.com/vinosbournett,,No,No,Lead
"Cabañas Malbec – Las Paredes","",,5492604623691,5492604623691,"Jensen 115  – Las Paredes",,,,,No,No,Lead
"FINCA CUADRO BENEGAS - Cuadro Benegas","",,,,"Calle el Vencedor esquina Mercado. Distrito Cuadro Benegas",https://fincacuadrobenegas.com.ar,https://www.instagram.com/fincacuadrobenegas/,,,No,No,Lead
"VILLA BONITA Resto de Campo (Restó) - Villa 25 de Mayo (1)","",,,,"Ruta 150 s n – Villa 25 de Mayo",http://www.complejovillabonita.com.ar,https://www.instagram.com/complejovillabonita/,,,No,No,Lead
"CANTINA A GOGÓ","",,"0260 402-0231","","Chile 9, M5600 San Rafael, Mendoza, Argentina","",https://www.instagram.com/cantinaagogo/,"",https://maps.google.com/?cid=17848181092760582528,No,No,Lead
"MITTO Helados & Café","",,2604023893,2604023893,"Domicilio  Av. Hipólito Yrigoyen 1737 – Ciudad",,https://www.instagram.com/mittoheladoos/?hl=es,,,No,No,Lead
"NEW SHALAKO - Ciudad","",,"0260 468-9430","","Av. Hipólito Yrigoyen 510 – Ciudad",https://instagram.com/new.shalako?utm_medium=copy_link,https://www.instagram.com/new.shalako/,"",,No,No,Lead
"MISS OLIVOS - (Visitas Guiadas- Venta de Productos) - Cuadro Benegas","",,"5 – Cuadro Benegas""",2604510000,"""Domicilio  Ruta 144 km 674",,https://www.missolivos.com.ar/Instagram:,https://www.instagram.com/miss.olivos/,,No,No,Lead
"BODEGA ETNIA","",,5492604023673,5492604023673,"Domicilio   Cubillos 2225 – Rama Caída",https://bodegaetnia.com/,https://www.instagram.com/bodegaetnia/profilecard/?igsh=a3pwcGJmend2cGlk,,,No,No,Lead
"Apart Hotel San Martín & Spa – 2 Estrellas","",,5492604549057,5492604549057,"Avenida  San Martín 435  – Ciudad",http://www.sanmartinhotelspa.com/,https://www.instagram.com/hotelsanmartin_spa/,https://www.facebook.com/SanMartinHotelSpa/,,No,No,Lead
"Cabañas Ayres de Cuyo – Las Paredes","",,54901169483112,54901169483112,"Bianchi 1000 – Las Paredes",http://www.ayresdecuyo.com/,https://www.instagram.com/ayresdecuyo/,,,No,No,Lead
"MENDOSUR E.V.T. Excursiones Locales y Turismo Emisivo","",,,,"Av. Balloffet 54 – Ciudad",http://www.turismomendosur.com.ar/,https://www.instagram.com/mendosur_excursiones/?hl=es-la,https://www.facebook.com/www.turismomendosur.com.ar,,No,No,Lead
"Hotel Tower Inn & Suites – 4 Estrellas","",,,,"Av. Hipólito Yrigoyen 760 – Ciudad",http://www.towersanrafael.com,https://www.instagram.com/towerhotelsuites/?hl=es,,,"Sí",No,Lead
"Terra Lombarda (Bodega) - Rama Caída","",,5492604595269,5492604595269,"Cubillos 4300 – Rama Caída",https://linktr.ee/bodegaterralombarda,https://www.instagram.com/bodegaterralombarda/,,,No,No,Lead
"BENELLI CAFÉ -Museo Café - Ciudad san rafael","",,2604446876,2604446876,"Domicilio  Avda. Balloffet 876 – Ciudad","","","",,No,No,Lead
"PARADOR MILLCAYAC - Valle Grande","",,2604408014,2604408014,"Domicilio  R. Provincial 173 km. 19- Valle Grande",,,,,No,No,Lead
"Los Cactus – Rama Caída","",,,,"José Mora 395 – Rama Caída",,,https://www.facebook.com/Caba%C3%B1a-Los-Cactus-355497607968288,,No,No,Lead
"KYLO Restó","",,2604607528,2604607528,"Domicilio  Day 235 – Ciudad",,https://www.instagram.com/kylo.san.rafael/?hl=en,,,No,No,Lead
"EPSILONCRU VINEYARDS (Bodega) - Las Paredes.","",,"Las Paredes.""",5492604397784,"""El chañaral 3698",,https://epsiloncvineyards.com/,https://www.instagram.com/epsiloncru.vineyards/,,No,No,Lead
"TOWDAH VIAJES - Empresa de Viajes y Turismo","",,5492604036822,5492604036822,"Agencia 100   On Line",https://www.towdahviajes.com.ar/Instagram:,https://www.instagram.com/towdahviajes/,,,No,No,Lead
"THE CLUB ( Restaurant & Bar) - Barrio TAC- Ciudad","",,5492604059405,5492604059405,"Canadá 12  – Barrio TAC – Ciudad de San Rafael",https://www.theclub.com.ar/,https://www.instagram.com/stories/theclubsanrafael/?hl=es,,,No,No,Lead
"GOOD PANCHO 19 - Ciudad","",,,,"Avda. Balloffet 115 – Ciudad",,https://www.instagram.com/goodpancho.sr/,https://www.facebook.com/Pancho19SanRafael,,No,No,Lead
"NINA (Café- Bar) -Ciudad","",,2604356668,2604356668,"Domicilio  San Martín y Olascoaga – Ciudad",,https://www.instagram.com/nina_cafebar/,,,No,No,Lead
"HOTEL VALLE GRANDE - Valle Grande","",,5492604401313,5492604401313,"R. Provincial 173 Km 35 – Valle Grande",http://hotelvallegrande.com.ar/,,,,No,No,Lead
"LA ALICIA (Restaurante & Hotel de campo)","",,"San Rafael""",2604545545,"""Domicilio  Goudge",,,https://www.instagram.com/hotel_laalicia/?hl=es,,No,No,Lead
"PARADOR EL DESVIO- El Desvio","",,2604350203,2604350203,"Ubicación  Ruta Nacional 144 y Ruta Provincial 180- Desvio El Nihuil",,,,,No,No,Lead
"Valle Grande Hotel de Montaña- 3 Estrellas","",,5492604401313,5492604401313,"R. Prov 173 km 35  – Valle Grande",http://www.hotelvallegrande.com,,,,No,No,Lead
"SUMUS Crepes & Coffe / Juguería - Ciudad","",,,,"Domicilio   Av. San Martín 265 – Ciudad",,https://www.instagram.com/sumussanrafael/,,,No,No,Lead
"COMPLEJO UTN Los Reyunos","",,2604021708,2604021708,"Ubicación  Ruta Provincial 150 – Los Reyunos",https://www.reyunos.utn.edu.ar/habitaciones.html,https://www.instagram.com/utn_losreyunos/?hl=es,,,No,No,Lead
"ANAHI- Helados","",,"",2604019103,"Ubicación  Av. Hipólito Yrigoyen  1475- Ciudad",https://www.pedidosya.com.ar/restaurantes/san-rafael/heladeria-anahi-san-rafael-menu,https://www.instagram.com/heladosanahi/?hl=es-la,https://www.facebook.com/heladosanahi/?locale=es_LA,,No,No,Lead
"EL PATIO (Café Bar) - Ciudad","",,154061648,154061648,"Domicilio  Hipólito Yrigoyen 1555 – Ciudad",,https://www.instagram.com/elpatio.goodfood/?hl=es,https://www.facebook.com/elpatiobeerhouse,,No,No,Lead
"PANCHO 19 - Ciudad","",,,,"Day  239 – Ciudad",,,,,No,No,Lead
"RITUAL (Minutas- Cervecería) - Ciudad","",,,,"Domicilio  Av. Sarmiento 2100 – Ciudad",,https://www.instagram.com/ritualcomidasycerveza/?hl=es,https://www.facebook.com/ritualcomidasycerveza,,No,No,Lead
"LA COCINA DE PETTRA (Resto)","",,,,"Bartolomé Mitre 3866, B1650 San Martín, Provincia de Buenos Aires, Argentina",https://linktr.ee/lacocinadepettra,https://www.instagram.com/lacocinadepettra/,"",,No,No,Lead
"LUPE TAQUERIA BAR (Taquería- Bar)","",,2604572729,2604572729,"Domicilio  Av. Mariano Moreno y Chile – Ciudad",,,,,No,No,Lead
"SDG TRAVEL- Turismo Emisivo","",,2604559238,2604559238,"Avellaneda 243 – Ciudad",http://www.sdgtravel.net/,https://www.instagram.com/sdgtravel2020/,,,No,No,Lead
"Chaglasian Wine & Suites – Las Paredes","",,,,"Valentín Bianchi 1600 -Las Paredes",https://chaglasianwinery.com/Instagram:,https://www.instagram.com/chaglasianwineandsuites/?hl=es,,,No,No,Lead
"MAJAL SUSHI - Ciudad","",,"","","Los Franceses 25 – Ciudad",https://majalsushi.com.ar/,https://www.instagram.com/majalsushi/,"",,No,No,Lead
"LA MANSA GRILL HOUSE - Cuadro Bombal - Cuadro Nacional","",,"5-  Cuadro Bombal – Cuadro Nacional""",260154238499154062002,"""Ruta 146 km 383",,https://lamansa.com.ar/,https://www.instagram.com/lamansawinesestates/,,No,No,Lead
"SURCANDO VIAJES E.V.T. - Turismo Emisivo","",,260154221266,260154221266,"Olascoaga 155 Local 3 – Ciudad",,https://www.instagram.com/surcandoviajes/,https://www.facebook.com/surcandoviajes/,,No,No,Lead
"EL MATUNGO Restaurante","",,"Villa 25 de Mayo","San Rafael.""","""Domicilio  Los Andes 263",5492604502558,,,,No,No,Lead
"NORDICO - Cerveza al Paso - Ciudad","",,,,"H. Yrigoyen 718 – Ciudad",,https://www.instagram.com/elnordicocraftbeer/?hl=es,https://www.facebook.com/elnordicocraftbeer,,No,No,Lead
"MOSTAZA - Ciudad","",,,,"Avenida Hipólito Yrigoyen 1530 – Ciudad",http://www.mostazaweb.com.ar,,,,No,No,Lead
"BLASCO E.VT. - Turismo Emisivo","",,,,"Bombal 70 – Ciudad",,https://www.instagram.com/blascoviajes/?hl=es-la,https://www.facebook.com/pages/category/Travel-Company/Blasco-Viajes-1960993763965371/,,No,No,Lead
"PARRILLA AL CAR","",,2604560049,2604560049,"Domicilio   Ruta Nacional 143 – Salto de Las Rosas- San Rafael",,,https://www.facebook.com/profile.php?id=100056740227713,,No,No,Lead
"BALCARCE (Café) - Ciudad","",,,,"Domicilio  25 de Mayo esq. E. Ríos – Ciudad",,https://www.instagram.com/balcarcesanrafaelok/?hl=es-la,,,No,No,Lead
"Casa Quinta Las Rosas – La Llave","",,,,"San Martín y Bernardino Izuel – La Llave",http://www.casaquintalasrosas.com.ar/,,,,No,No,Lead
"Finca La Encantada – Rama Caída","",,,,"Los Olivos 900 – Rama Caída",http://www.fincalaencantada.com/,https://www.instagram.com/fincalaencantada/?hl=es,,,No,No,Lead
"Apart Hotel Los Carolinos Lodge – Villa 25 de Mayo","",,5492604535254,5492604535254,"https   wa.me 5492604535254",http://www.loscarolinoslodge.com/,https://www.instagram.com/loscarolinoslodge/,,,No,No,Lead
"DUVAR Resto Club -","",,2604664018,2604664018,"Domicilio  Hipólito Yrigoyen 3524 – Las Paredes",,https://www.instagram.com/duvarrestoclub/,,,No,No,Lead
"PARRILLA LO DEL TURCO - Ciudad","",,2604677105,2604677105,"Domicilio  Callao 600 – Ciudad",,https://www.instagram.com/parrillalodelturco/?__d=11,,,No,No,Lead
"LA JUANITA (Restó de Campo ) - Las Paredes","",,,,"Domicilio  V. Bianchi 5500 – Las Paredes",,https://www.instagram.com/lajuanitarestaurantcasadete/?hl=es,,,No,No,Lead
"ARGANA WINE (Bodega) - Atuel Norte","",,2604407699,2604407699,"R. Nac. 143 km 475 – Atuel Norte",http://arganawines.com.ar/es/,https://www.instagram.com/arganawines/?hl=es-la,"",,No,No,Lead
"BABEL (Bar Restó) - Ciudad","",,,,"Av. Hipólito Yrigoyen 1574 – Ciudad",,,https://www.facebook.com/BabelBarResto,,No,No,Lead
