id,nombre,email,telefono,whatsapp,direccion,website,instagram,facebook,google_maps_url,is_premium,verificado
41,"FRAMBUESA- Café - Pastelería",,2613895474,2613895474,"Domicilio         Jose Hernández 2477 – Ciudad",,https://www.instagram.com/frambuesa.cake/,,,,0
42,"EL PALACIO DE LA EMPANADA",,"0260 442-0685","","Cnel. Suárez 675, M5600 San Rafael, Mendoza, Argentina","",https://www.instagram.com/elpalaciodelaempanada2020/,"",https://maps.google.com/?cid=7732731795516474261,0,0
43,"Oro Verde",,"0260 461-7366","","Av. Juan B. Alberdi 500, M5600HKJ San Rafael, Mendoza, Argentina",https://instagram.com/oroverdesrl?igshid=YmMyMTA2M2Y=,"","",https://maps.google.com/?cid=13154873282284940714,0,0
44,"Cabañas Complejo La Piedra – El Nihuil",,5492604577686,5492604577686,"Beltrán 320- El Nihuil",,,,,,0
45,"Hotel Almería – 2 Estrellas",,2604438020,2604438020,"Barcala 221 – Ciudad",http://www.almeriahotel.com.ar,https://www.instagram.com/hotel_almeria_san_rafael/?hl=es,,,,0
46,"Cabañas Cerro Encantado – 2 Estrellas – Valle Grande",,2604045367,2604045367,"Ruta Prov. 173 km 18 – Valle Grande",,https://www.instagram.com/cerro_encantado/,,,,0
47,"Cabañas Altos De La Bodega – Rama Caída",,260154693148341156577265,260154693148341156577265,"La Bodega 250 – Rama Caída",http://www.altosdelabodega.com.ar/,https://www.instagram.com/altosdelabodega/,https://www.facebook.com/altosdelabodega.com.ar/,,,0
48,"COLOR CAFÉ - Villa 25 de Mayo",,5492604570715,5492604570715,"Domicilio  9 de Julio esq. San Martin – Villa 25 de Mayo",,https://www.instagram.com/restaurante.colorcafe/?hl=es,https://www.facebook.com/Restaurante-Color-Cafe-1812221962390806,,,0
49,"CHEZ GASTON RESTAURANTE - Cuadro Benegas ( 1)",,,,"R. Nac. 144 km. 674-Cuadro Benegas",https://www.algodonhotels.com/wineestates/,,,,,0
50,"EL PALACIO DE LA EMPANADA",,"0260 442-0685","","Cnel. Suárez 675, M5600 San Rafael, Mendoza, Argentina","",https://www.instagram.com/elpalaciodelaempanada2020/,"",https://maps.google.com/?cid=7732731795516474261,0,0
51,"Apart Hotel Villa María Florales - Cuadro Benegas",,5492604597703,5492604597703,"Ruta Nacional 144 km 665 – Cuadro Benegas",http://www.mariaflorales.com.ar/,https://www.instagram.com/complejo_mariaflorales/,,,,0
52,"Cabañas Del Sol – Valle Grande",,"km 19","9- Valle Grande""","""Ruta Prov. 173",260154530098154400485,,http://www.cabanasdelsol.com.ar/,,,0
53,"BONAFIDE (Café) - Ciudad",,,,"Domicilio  Av. Hip. Yrigoyen 87 – Ciudad",,https://www.instagram.com/bonafide.sanrafael/?hl=es-la,,,,0
54,"SOL Y AVENTURA - Excursiones Locales",,2614193366,2614193366,"San Rafael",https://solyaventura.tur.ar/Instagram:,https://www.instagram.com/solyaventura.sr/,,,,0
55,"Cabañas Camino al Valle- Rama Caída",,,,"Lucato 400- Rama Caída",,https://www.instagram.com/camino_al_valle/,https://www.facebook.com/Caminoalvalle,,,0
56,"Cabañas El Eden – Las Paredes",,5492604597072,5492604597072,"El Toledano Sur 500 – Las Paredes",http://www.eledensanrafael.com.ar/,,,,,0
57,"CUARZO VIAJES Y TURISMO",,,,"Av. Balloffet 2.050 – Ciudad 54 9 2604 56-2363",https://cuarzoviajes.com.ar/,https://www.instagram.com/cuarzovyt/,,,,0
58,"LA POSTA DEL CHOLO (Restó) - Valle Grande - (1)",,,,"Ruta Prov. N  173 km 18 – Valle Grande",,https://www.instagram.com/postadelcholo/,https://www.facebook.com/laposta.delcholo,,,0
59,"EMPRESA DE TURISMO ITALO BUTTINI -E.V.T.- Turismo Emisivo.",,,,"Corrientes 494 – Ciudad",,https://www.instagram.com/turismobuttini/?hl=es-la,https://www.facebook.com/turismo.buttini/,,,0
60,"Valle Grande Hotel de Montaña- 3 Estrellas",,5492604401313,5492604401313,"R. Prov 173 km 35  – Valle Grande",http://www.hotelvallegrande.com,,,,,0
61,"RAFFEISH - Valle Grande",,,,"R. Prov. 173 km 29 – Valle Grande",https://www.raffeish.com.ar/,https://www.instagram.com/raffeishturismo/,,,,0
62,"Casas Viejas – Las Paredes",,,,"Valentín Bianchi 6500 – Las Paredes",http://www.fincacasasviejas.com.ar/,,,,,0
63,"HOT POLLO San Rafael - Ciudad",,,,"Domicilio  Avda Hipólito Yrigoyen 813 – Ciudad",,https://www.instagram.com/hot.pollo/?hl=es-la#,,,,0
64,"EL FORTIN Café - Ciudad",,,,"Domicilio  Barcala y Las Heras – Ciudad",,https://www.instagram.com/elfortinpanaderia/?hl=es,,,,0
65,"Cabañas La Cosecha – Rama Caída",,260154418312,260154418312,"Cubillos 6165 –  Rama Caída",https://www.cabanaslacosecha.com.ar/,https://www.instagram.com/cablacosecha/,,,,0
66,"Cabañas Saint Bernard – Cuadro Nacional",,5492604682657,5492604682657,"Avenida  Alberdi 6500 – Cuadro Nacional",,,,,,0
67,"EL TOMILLO (Los Carolinos Lodge) - Villa 25 de Mayo",,,,"Mitre 300 – Villa 25 de Mayo",http://www.loscarolinoslodge.com/,,,,,0
68,"Chaglasian Winery & Vineyards",,2604340827,2604340827,"Ubicación  Valentín  Bianchi 1.600 – Las Paredes",https://chaglasianwinery.com/bodega-boutique-en-san-rafael-mendoza-argentina/Instagram:,https://www.instagram.com/chaglasianwineandsuites/,https://www.facebook.com/Chaglasian,,,0
69,"Apart Hotel Tierra Mora - Ciudad",,5491157002168,5491157002168,"Ameghino 350 – Ciudad",https://www.tierramora.com.ar/es/,,,,,0
70,"SUD (Restó) Hotel Tower Inn & Suites - Ciudad - (1)",,,,"Av. H. Yrigoyen 774 – Ciudad",http://www.towersanrafael.com,https://www.instagram.com/sud.restaurante/?hl=es,,,,0
71,"PASTELLA- Café - Pastelería",,2604342496,2604342496,"Domicilio  Av. San Martín 435 – Ciudad",,https://www.instagram.com/pastella.sr/,,,,0
72,"Casas de Campo La Josefina – Rama Caída",,,,"Los Olivos 1050 – Rama Caída",,,,,,0
73,"RISTTRETO Café",,2604557559,2604557559,"Domicilio  Pellegrini 40    – Ciudad",,https://www.instagram.com/ristretto.cafe.bar/?hl=es-la,,,,0
74,"Cabañas La Palloza – Cuadro Benegas",,"5 – Cuadro Benegas""",261156057074,"""Ruta 144 km 672",,,https://www.instagram.com/complejolapalloza/,,,0
75,"Cabañas Del Cerro – Valle Grande",," km 17","9 – Valle Grande""","""Ruta Prov. 173",,,http://www.complejodelcerro.com/,,,0
76,"LA ABEJA (Bodega / Espumantes) - Ciudad",,,,"Av. Hipólito Yrigoyen 1900 – Ciudad",http://www.bodegalaabeja.com.ar,https://www.instagram.com/bodegalaabeja/?hl=es-la,https://www.facebook.com/Laabejabodega,,,0
77,"AL MUNDO San Rafael- (Franquicia)-Turismo Emisivo",,"0810-220-1031 ext. 100","","Av. H. Yrigoyen 1799",https://almundo.com.ar/,"","",,,0
78,"HOGAREÑO&#8217;S 🏡-Restaurante y Comidas para llevar",,km498,"Salto de las Rosas- San Rafael""","""Domicilio  Ruta Nacional 143",2604560330,,,,,0
79,"PARRILLA LO DEL TURCO - Ciudad",,2604677105,2604677105,"Domicilio  Callao 600 – Ciudad",,https://www.instagram.com/parrillalodelturco/?__d=11,,,,0
80,"CANTINA A GOGÓ",,"0260 402-0231","","Chile 9, M5600 San Rafael, Mendoza, Argentina","",https://www.instagram.com/cantinaagogo/,"",https://maps.google.com/?cid=17848181092760582528,0,0
81,"HOTEL NITRA II - Valle Grande",,"2 – Valle Grande""",,"""R. Prov. 173 km. 25",,https://www.hotelesnitra.com.ar/,,,,0
82,"Hostel Nido - Ciudad",,2604222133,2604222133,"Cnel. Ricardo Day 111 – Ciudad",,https://www.instagram.com/nido_hostel/?hl=es-la,https://www.facebook.com/nidohostel,,,0
83,"LABIANO (Bodega / Espumantes) - Rama Caída",,5492604635030,5492604635030,"Cubillos 3850 – Rama Caída",http://www.bodegalabiano.com,https://www.instagram.com/bodegalabiano/?hl=es-la,https://www.facebook.com/bodega.labiano,,,0
84,"EL PINITO - Heladerías",,2604595379,2604595379,"Domicilio  Av. Hipólito Yrigoyen 1565 – Ciudad",,https://www.instagram.com/elpinito_helados/?hl=es,,,,0
85,"DE MARTIS TURISMO- E.V.T. (Sucursal San Rafael) - Turismo Emisivo",,,,"Chile 462 –  Local 2- Planta Baja – Ciudad",http://www.demartis.com.ar/,,,,,0
86,"Cabañas Posada Del Angel- Valle Grande",,"8 – Valle Grande""",260154641782154605066,"""Ruta Prov. N  173 km 14",,http://www.posadasdelangel.com.ar/,https://www.instagram.com/posadasdelangelvallegrande/,,,0
87,"La Casona de Crismajo – Cuadro Benegas",,260154664695,260154664695,"Mercado 300 – Cuadro Benegas",,https://www.instagram.com/lacasona.decrismajo/?hl=es,,,,0
88,"SYRAH Restaurante - Las Paredes",,"Las Paredes""",2604802010,"""Domicilio  El Chañaral 2000",,,https://www.instagram.com/syrah.resto/?gad_source=1&gclid=Cj0KCQjw3vO3BhCqARIsAEWblcDFWPb93sIYZu5aUHw3SRF4vk4uDEcq2sI5xMSfaIBcqSuX1yDuW5waAlZaEALw_wcB,,,0
89,"Chalet Los Troncos - Cuadro Benegas",,260154630935,260154630935,"El Moro 3500 – Cuadro Benegas",,https://www.instagram.com/chaletlostroncos/?hl=es,,,,0
90,"Barrancas Suites – Villa 25 de Mayo",,5492604539394,5492604539394,"La Bodega S N – Villa 25 de Mayo",http://www.barrancassuites.com/,,,,,0
91,"MAGIC TOP Helados",,26044425281,26044425281,"Domicilio  Av. Mitre 202 – Ciudad",,https://www.instagram.com/heladosmagicdelivery/,,,,0
92,"Cabañas La Divina Pereza – Rama Caída",,5492604030573,5492604030573,"Cubillos 4035- Rama Caída",http://www.ladivinapereza.com.ar/,https://www.instagram.com/divinapereza/,https://www.facebook.com/divina.pereza/?__tn__=%2Cd%2CP-R&eid=ARCb_vEOugdNTxwqEPMznbDl7fWrtdH9Vw0pLiJ2MWl1BPAhIa4c-hDTZqJu6ab3NmokkU6QC6wWXBlX,,,0
93,"Valle Grande Aventura",,"0260 459-3696","","34.8351900, -68.5126320, M5600 Valle Grande, Mendoza, Argentina",https://vallegrandeaventura.com.ar/,"","",https://maps.google.com/?cid=1139713816795091720,0,0
94,"LA NUEVA COSECHA 71 (Café- Minutas) - Ciudad",,,,"Av. Hipólito Yrigoyen 674 – Ciudad",,,,,,0
95,"Cabañas El Chañar – 1 Estrella – Cuadro Benegas",,,,"El Moro 4623 – Cuadro Benegas",http://www.xn--cabaaselchaar-lkbh.com.ar/,,https://www.facebook.com/cabaniaselchaniar.com.ar/,,,1
96,"Apart Hotel Vecchia Terra - Ciudad",,5492604221204,5492604221204,"Castelli 23  – Ciudad",http://www.vecchiaterra.com.ar/,https://www.instagram.com/vecchia_terra/?hl=es,https://www.facebook.com/vecchiaterraapart/,,,0
97,"CALLE ANGOSTA (Enorestó Bodega Ibarra) - Rama Caída",,,,"Cubillos 3550 – Rama Caída",,https://www.instagram.com/bodegaibarra/?hl=es-la,https://www.facebook.com/BodegaBoutiqueIbarra,,,0
98,"Cabañas Valle Grande Hotel de Montaña – Estrella – Valle Grande",," km 35 – Valle Grande""",,"""Ruta Prov. 173",,http://www.hotelvallegrande.com/,,,,0
99,"HOTEL NITRA II - Valle Grande",,"2 – Valle Grande""",,"""R. Prov. 173 km. 25",,https://www.hotelesnitra.com.ar/,,,,0
100,"Apart Hotel Ámbar",,5492604636042,5492604636042,"Chile 259 – Planta Alta  – Ciudad","","","",,,0
101,"BONAFIDE (Café) - Ciudad",,,,"Domicilio  Av. Hip. Yrigoyen 87 – Ciudad",,https://www.instagram.com/bonafide.sanrafael/?hl=es-la,,,,0
102,"MARY Lomitos",,"0260 443-2990","","Las Aucas 1826, M5600 San Rafael, Mendoza, Argentina",https://pedidos.masdelivery.com/mary-lomitos,https://www.instagram.com/marylomitos/,"",https://maps.google.com/?cid=17189454009944389488,0,0
103,"BODEGA GRAND ESTATE (vinos)",,5492604594274,5492604594274,"Domicilio  Castelli 1331 –  CP 5600  – Ciudad",https://grandestate.com.ar/Instagram:,https://www.instagram.com/turismograndestate/,,,,0
104,"Finca La Penúltima",,5492604054453,5492604054453,"Las Heras 487 – Villa 25 de Mayo",http://www.fincalapenultima.com,https://www.instagram.com/fincalapenultima/?hl=es,,,,0
105,"EL NIHUIL HOTEL (Resto)- El Nihuil - (1)",,,,"La Pasarella 1200- El Nihuil",https://www.smata.com.ar/el-nihuil-hotel/,,,,,0
106,"Complejo Villa Bonita – Villa 25 de Mayo",,2604537154,2604537154,"Ruta Prov. N  150 – S N- Villa 25 de Mayo",http://www.complejovillabonita.com.ar/,https://www.instagram.com/complejovillabonita/,,,,0
107,"L´OBRADOR (Comedor De Campo) - Las Paredes - (1)",,,,"Bentos 50 Pasillo 1 – Las Paredes",,https://www.instagram.com/lobradorsr/,https://www.facebook.com/L-Obrador-570792939655533,,,0
108,"EXCURSIONES AHORA EV.T. -Excursiones Locales.",,,,"Av. Hipólito Yrigoyen 642 – Ciudad",http://www.excursionesahora.com.ar/,https://www.instagram.com/excursionesahora/,,,,0
109,"LOMORO Helados & Café",,,,"Domicilio  Av. Balloffet 1205 – Ciudad",,https://www.instagram.com/heladoslomorosanrafael/?hl=es,,,,0
110,"Moment’s Bar - Ciudad",,5492604400990,5492604400990,"Av. Deán Funes 998 – Ciudad",https://momentstulugar.com/,https://www.instagram.com/moments.tu.lugar/?hl=es,,,,0
111,"RIO AZUL (Parrilla -Restó) - Valle Grande",," km. 23.9""",,"""Ruta Prov. 173",,http://www.rioazulvallegrande.com.ar,https://www.instagram.com/rioazulvallegrande/,,,0
112,"La Dante Viajes",,2604414179,2604414179,"Domicilio  Alem 52 – Ciudad de San Rafael",,https://www.instagram.com/ladanteviajes/,,,,0
113,"EL TOMILLO (Los Carolinos Lodge) - Villa 25 de Mayo",,,,"Mitre 300 – Villa 25 de Mayo",http://www.loscarolinoslodge.com/,,,,,0
114,"SUD (Restó) Hotel Tower Inn & Suites - Ciudad - (1)",,,,"Av. H. Yrigoyen 774 – Ciudad",http://www.towersanrafael.com,https://www.instagram.com/sud.restaurante/?hl=es,,,,0
115,"EPSILONCRU VINEYARDS (Bodega) - Las Paredes.",,"Las Paredes.""",5492604397784,"""El chañaral 3698",,https://epsiloncvineyards.com/,https://www.instagram.com/epsiloncru.vineyards/,,,0
116,"Cabañas BET-EL - Rama Caída",,,,"El Moro 2505 – Rama Caída",,https://www.instagram.com/betelsanrafael/?hl=es-la,https://www.facebook.com/cabanasbetelsanrafael,,,1
117,"LABIANO (Bodega / Espumantes) - Rama Caída",,5492604635030,5492604635030,"Cubillos 3850 – Rama Caída",http://www.bodegalabiano.com,https://www.instagram.com/bodegalabiano/?hl=es-la,https://www.facebook.com/bodega.labiano,,,0
118,"SOL Y AVENTURA - Excursiones Locales",,2614193366,2614193366,"San Rafael",https://solyaventura.tur.ar/Instagram:,https://www.instagram.com/solyaventura.sr/,,,,0
119,"CHECHO A LA LLAMA ( Parrilla) - Cuadro Nacional",,,,"Domicilio  Ignacio Sueta 830 – Cuadro Nacional",,https://www.instagram.com/chechoalallama/,,,,0
120,"Cabañas Altos Del Valle – Rama Caída",,,,"Cubillos 8000 – Rama Caída",http://www.altosdelvallesr.com.ar/,,,,,0
121,"Hotel Rex - 1 estrella",,2604014779,2604014779,"Domicilio  Avda. Hipólito Yrigoyen 56",,https://www.instagram.com/hotel_rex2024/,,,,0
122,"BAHRÜ - Ciudad",,260154625273,260154625273,"Av. Hipólito Yrigoyen 1899 – Ciudad",,https://www.instagram.com/bahru.club/,https://www.facebook.com/bahru.club,,,0
123,"CAFÉ DEL MUNDO - Ciudad",,,,"Ubicación 1   Avda. Hipólito Yrigoyen 1661 – Ciudad",https://www.cafedelmundo.com.ar/,https://www.instagram.com/cafedelmundoarg/,,,,0
124,"FIGO RESTAURANTE - Rama Caída",,"4 entre Cubillos y Perdiguez","Rama Caída""","""Domicilio  Ruta 143 Km 513",2604504455,,,,,0
125,"BODEGA BOURNETT (Bodega / Espumantes) - Cuadro Nacional",,5492604063291,5492604063291,"Ruta 154 s n – Cuadro Nacional",http://bournett.com.ar/,https://www.instagram.com/bodegabournett/?hl=es-la,https://www.facebook.com/vinosbournett,,,0
126,"Cabañas Malbec – Las Paredes",,5492604623691,5492604623691,"Jensen 115  – Las Paredes",,,,,,0
127,"FINCA CUADRO BENEGAS - Cuadro Benegas",,,,"Calle el Vencedor esquina Mercado. Distrito Cuadro Benegas",https://fincacuadrobenegas.com.ar,https://www.instagram.com/fincacuadrobenegas/,,,,0
128,"VILLA BONITA Resto de Campo (Restó) - Villa 25 de Mayo (1)",,,,"Ruta 150 s n – Villa 25 de Mayo",http://www.complejovillabonita.com.ar,https://www.instagram.com/complejovillabonita/,,,,0
129,"CANTINA A GOGÓ",,"0260 402-0231","","Chile 9, M5600 San Rafael, Mendoza, Argentina","",https://www.instagram.com/cantinaagogo/,"",https://maps.google.com/?cid=17848181092760582528,0,0
130,"MITTO Helados & Café",,2604023893,2604023893,"Domicilio  Av. Hipólito Yrigoyen 1737 – Ciudad",,https://www.instagram.com/mittoheladoos/?hl=es,,,,0
131,"NEW SHALAKO - Ciudad",,"0260 468-9430","","Av. Hipólito Yrigoyen 510 – Ciudad",https://instagram.com/new.shalako?utm_medium=copy_link,https://www.instagram.com/new.shalako/,"",,,0
132,"MISS OLIVOS - (Visitas Guiadas- Venta de Productos) - Cuadro Benegas",,"5 – Cuadro Benegas""",2604510000,"""Domicilio  Ruta 144 km 674",,https://www.missolivos.com.ar/Instagram:,https://www.instagram.com/miss.olivos/,,,0
133,"BODEGA ETNIA",,5492604023673,5492604023673,"Domicilio   Cubillos 2225 – Rama Caída",https://bodegaetnia.com/,https://www.instagram.com/bodegaetnia/profilecard/?igsh=a3pwcGJmend2cGlk,,,,0
134,"BODEGA ETNIA",,5492604023673,5492604023673,"Domicilio   Cubillos 2225 – Rama Caída",https://bodegaetnia.com/,https://www.instagram.com/bodegaetnia/profilecard/?igsh=a3pwcGJmend2cGlk,,,,0
135,"Apart Hotel San Martín & Spa – 2 Estrellas",,5492604549057,5492604549057,"Avenida  San Martín 435  – Ciudad",http://www.sanmartinhotelspa.com/,https://www.instagram.com/hotelsanmartin_spa/,https://www.facebook.com/SanMartinHotelSpa/,,,0
136,"LA GRINGA (Restó) - Ciudad",,,,"Domicilio  Chile 26 – Ciudad",,https://www.instagram.com/lagringasr/,,,,0
137,"Cabañas Ayres de Cuyo – Las Paredes",,54901169483112,54901169483112,"Bianchi 1000 – Las Paredes",http://www.ayresdecuyo.com/,https://www.instagram.com/ayresdecuyo/,,,,0
138,"MENDOSUR E.V.T. Excursiones Locales y Turismo Emisivo",,,,"Av. Balloffet 54 – Ciudad",http://www.turismomendosur.com.ar/,https://www.instagram.com/mendosur_excursiones/?hl=es-la,https://www.facebook.com/www.turismomendosur.com.ar,,,0
139,"Hotel Tower Inn & Suites – 4 Estrellas",,,,"Av. Hipólito Yrigoyen 760 – Ciudad",http://www.towersanrafael.com,https://www.instagram.com/towerhotelsuites/?hl=es,,,,1
140,"Terra Lombarda (Bodega) - Rama Caída",,5492604595269,5492604595269,"Cubillos 4300 – Rama Caída",https://linktr.ee/bodegaterralombarda,https://www.instagram.com/bodegaterralombarda/,,,,0
141,"BENELLI CAFÉ -Museo Café - Ciudad san rafael",,2604446876,2604446876,"Domicilio  Avda. Balloffet 876 – Ciudad","","","",,,0
142,"Cabañas La Martina Casa de Campo – Rama Caída",,260154517234,260154517234,"Arroyo 1331",http://www.xn--cabaaslamartina-1qb.com.ar/,https://www.instagram.com/lamartina.cdc/,,,,0
143,"PARADOR MILLCAYAC - Valle Grande",,2604408014,2604408014,"Domicilio  R. Provincial 173 km. 19- Valle Grande",,,,,,0
144,"Los Cactus – Rama Caída",,,,"José Mora 395 – Rama Caída",,,https://www.facebook.com/Caba%C3%B1a-Los-Cactus-355497607968288,,,0
